,Symbol,National Common Name,Genus
0,Symbol_AGCA5,NCN_colonial_bentgrass,Genus_Agrostis
1,Symbol_AGCA5,,Genus_Agrostis
2,Symbol_AGCA5,,Genus_Agrostis
3,Symbol_AGCA5,,Genus_Agrostis
4,Symbol_AGCA5,,Genus_Agrostis
5,Symbol_AGCA5,,Genus_Agrostis
6,Symbol_AGCA5,,Genus_Agrostis
7,Symbol_AGEL4,NCN_Elliott's_bentgrass,Genus_Agrostis
8,Symbol_AGEL4,,Genus_Agrostis
9,Symbol_AGGI2,NCN_redtop,Genus_Agrostis
10,Symbol_AGGI2,,Genus_Agrostis
11,Symbol_AGGI2,,Genus_Agrostis
12,Symbol_AGGI2,,Genus_Agrostis
13,Symbol_AGGI2,,Genus_Agrostis
14,Symbol_AGGI2,,Genus_Agrostis
15,Symbol_AGHY,NCN_winter_bentgrass,Genus_Agrostis
16,Symbol_AGHY,,Genus_Agrostis
17,Symbol_AGHY,,Genus_Cornucopiae
18,Symbol_AGPE,NCN_upland_bentgrass,Genus_Agrostis
19,Symbol_AGPE,,Genus_Agrostis
20,Symbol_AGPE,,Genus_Agrostis
21,Symbol_AGPE,,Genus_Agrostis
22,Symbol_AGPE,,Genus_Agrostis
23,Symbol_AGPE,,Genus_Agrostis
24,Symbol_AGPE,,Genus_Agrostis
25,Symbol_AGPE,,Genus_Cornucopiae
26,Symbol_AGROS2,NCN_bentgrass,Genus_Agrostis
27,Symbol_AGST2,NCN_creeping_bentgrass,Genus_Agrostis
28,Symbol_AGST2,,Genus_Agrostis
29,Symbol_AGST2,,Genus_Agrostis
30,Symbol_AGST2,,Genus_Agrostis
31,Symbol_AGST2,,Genus_Agrostis
32,Symbol_AGST2,,Genus_Agrostis
33,Symbol_AGST2,,Genus_Agrostis
34,Symbol_AICA,NCN_silver_hairgrass,Genus_Aira
35,Symbol_AICAC2,NCN_silver_hairgrass,Genus_Aira
36,Symbol_AICAC2,,Genus_Aspris
37,Symbol_AIRA,NCN_hairgrass,Genus_Aira
38,Symbol_ALCA4,NCN_Carolina_foxtail,Genus_Alopecurus
39,Symbol_ALCA4,,Genus_Alopecurus
40,Symbol_ALCA4,,Genus_Alopecurus
41,Symbol_ALGE2,NCN_water_foxtail,Genus_Alopecurus
42,Symbol_ALGEG4,NCN_water_foxtail,Genus_Alopecurus
43,Symbol_ALGEG4,,Genus_Alopecurus
44,Symbol_ALMY,NCN_slender_meadow_foxtail,Genus_Alopecurus
45,Symbol_ALMY,,Genus_Alopecurus
46,Symbol_ALOPE,NCN_foxtail,Genus_Alopecurus
47,Symbol_ALPR3,NCN_meadow_foxtail,Genus_Alopecurus
48,Symbol_ANDRO2,NCN_bluestem,Genus_Andropogon
49,Symbol_ANGE,NCN_big_bluestem,Genus_Andropogon
50,Symbol_ANGE,,Genus_Andropogon
51,Symbol_ANGE,,Genus_Andropogon
52,Symbol_ANGE,,Genus_Andropogon
53,Symbol_ANGE,,Genus_Andropogon
54,Symbol_ANGL2,NCN_bushy_bluestem,Genus_Andropogon
55,Symbol_ANGLG2,NCN_bushy_bluestem,Genus_Andropogon
56,Symbol_ANGLG2,,Genus_Andropogon
57,Symbol_ANGLG2,,Genus_Andropogon
58,Symbol_ANGLG2,,Genus_Cinna
59,Symbol_ANGY2,NCN_Elliott's_bluestem,Genus_Andropogon
60,Symbol_ANGYG,NCN_Elliott's_bluestem,Genus_Andropogon
61,Symbol_ANGYG,,Genus_Andropogon
62,Symbol_ANGYG,,Genus_Andropogon
63,Symbol_ANGYG,,Genus_Andropogon
64,Symbol_ANGYG,,Genus_Andropogon
65,Symbol_ANGYG,,Genus_Andropogon
66,Symbol_ANOD,NCN_sweet_vernalgrass,Genus_Anthoxanthum
67,Symbol_ANODO2,NCN_sweet_vernalgrass,Genus_Anthoxanthum
68,Symbol_ANTE2,NCN_splitbeard_bluestem,Genus_Andropogon
69,Symbol_ANTET,NCN_splitbeard_bluestem,Genus_Andropogon
70,Symbol_ANTET,,Genus_Andropogon
71,Symbol_ANTHO,NCN_hornwort,Genus_Anthoxanthum
72,Symbol_ANVI2,NCN_broomsedge_bluestem,Genus_Andropogon
73,Symbol_ANVIV,NCN_broomsedge_bluestem,Genus_Andropogon
74,Symbol_ANVIV,,Genus_Anatherum
75,Symbol_ANVIV,,Genus_Andropogon
76,Symbol_APERA,NCN_silkybent,Genus_Apera
77,Symbol_APSP,NCN_loose_silkybent,Genus_Apera
78,Symbol_APSP,,Genus_Agrostis
79,Symbol_ARDI4,NCN_churchmouse_threeawn,Genus_Aristida
80,Symbol_ARDIC,NCN_Curtis'_threeawn,Genus_Aristida
81,Symbol_ARDIC,,Genus_Aristida
82,Symbol_ARDIC,,Genus_Aristida
83,Symbol_ARDID,NCN_churchmouse_threeawn,Genus_Aristida
84,Symbol_AREL3,NCN_tall_oatgrass,Genus_Arrhenatherum
85,Symbol_ARELE,NCN_tall_oatgrass,Genus_Arrhenatherum
86,Symbol_ARELE,,Genus_Arrhenatherum
87,Symbol_ARELE,,Genus_Avena
88,Symbol_ARHI3,NCN_small_carpetgrass,Genus_Arthraxon
89,Symbol_ARHI3,,Genus_Arthraxon
90,Symbol_ARHI3,,Genus_Arthraxon
91,Symbol_ARHI3,,Genus_Phalaris
